type,value
GRADUADO,4.115151515
GRADUADO,3.534615385
GRADUADO,3.941818182
GRADUADO,3.95
GRADUADO,3.95
GRADUADO,4.414035088
GRADUADO,4.183333333
GRADUADO,4.157142857
GRADUADO,4.395454545
GRADUADO,4.421311475
GRADUADO,4.421052632
GRADUADO,4.25
GRADUADO,4.487837838
GRADUADO,4.219117647
GRADUADO,4.081428571
GRADUADO,4.061333333
GRADUADO,3.88358209
GRADUADO,4.084285714
GRADUADO,4.315789474
GRADUADO,3.698684211
GRADUADO,3.669565217
GRADUADO,4.103508772
GRADUADO,3.982142857
GRADUADO,3.748333333
GRADUADO,4.205714286
GRADUADO,3.966666667
GRADUADO,4.30877193
GRADUADO,4.321212121
GRADUADO,4.235820896
GRADUADO,4.286567164
GRADUADO,3.732857143
GRADUADO,3.638888889
GRADUADO,3.8
GRADUADO,4.086363636
GRADUADO,3.807142857
GRADUADO,3.943859649
GRADUADO,4.436363636
GRADUADO,3.596774194
GRADUADO,4.285454545
GRADUADO,4.075
GRADUADO,3.985245902
GRADUADO,4.063157895
GRADUADO,4.3
GRADUADO,3.508
GRADUADO,4.209259259
GRADUADO,4.135185185
GRADUADO,4.258064516
GRADUADO,4.269642857
GRADUADO,3.488732394
GRADUADO,4.580952381
GRADUADO,3.473134328
GRADUADO,4.210526316
GRADUADO,4.291071429
GRADUADO,4.103448276
GRADUADO,4.205263158
GRADUADO,4.283050847
GRADUADO,4.444827586
GRADUADO,4.339285714
GRADUADO,4.1375
GRADUADO,4.132727273
GRADUADO,4.21147541
GRADUADO,4.566666667
GRADUADO,4.345614035
GRADUADO,4.1
GRADUADO,4.451785714
GRADUADO,4.165454545
GRADUADO,4.308928571
GRADUADO,4.167857143
GRADUADO,3.787692308
GRADUADO,4.241269841
GRADUADO,3.761643836
GRADUADO,3.986666667
GRADUADO,4.442857143
GRADUADO,4.174545455
GRADUADO,4.371428571
GRADUADO,4.25
GRADUADO,4.29516129
GRADUADO,3.945454545
GRADUADO,4.466666667
GRADUADO,4.086440678
GRADUADO,4.196491228
GRADUADO,4.538095238
GRADUADO,4.4
GRADUADO,4.474
GRADUADO,4.1
GRADUADO,4.331481481
GRADUADO,4.328813559
GRADUADO,4.229824561
GRADUADO,4.392857143
GRADUADO,4.276271186
GRADUADO,4.187719298
GRADUADO,4.117391304
GRADUADO,4.125352113
GRADUADO,3.571232877
GRADUADO,4.444444444
GRADUADO,4.385714286
GRADUADO,4.055172414
GRADUADO,4.043478261
GRADUADO,4.386956522
GRADUADO,4.269642857
GRADUADO,4.433928571
GRADUADO,4.233333333
GRADUADO,4.177192982
GRADUADO,4.176785714
GRADUADO,4.47704918
GRADUADO,4.135087719
GRADUADO,4.316071429
GRADUADO,4.086206897
GRADUADO,4.294545455
GRADUADO,4.110526316
GRADUADO,4.110526316
GRADUADO,4.546428571
GRADUADO,3.617741935
GRADUADO,4.036666667
GRADUADO,4.253448276
GRADUADO,4.22037037
GRADUADO,4.398360656
GRADUADO,4.225
GRADUADO,3.9078125
GRADUADO,4.269230769
GRADUADO,4.2375
GRADUADO,4.161666667
GRADUADO,4.526153846
GRADUADO,4
GRADUADO,4.357142857
GRADUADO,4.29516129
GRADUADO,4.3
GRADUADO,4.340983607
GRADUADO,4.229310345
GRADUADO,4.196428571
GRADUADO,4.150819672
GRADUADO,4.16557377
GRADUADO,4.162068966
GRADUADO,4.169354839
GRADUADO,4.174137931
GRADUADO,4.663636364
GRADUADO,4.359615385
GRADUADO,4.2375
GRADUADO,4.248275862
GRADUADO,4.242857143
GRADUADO,3.898305085
GRADUADO,4.360714286
GRADUADO,4.433870968
GRADUADO,4.353225806
GRADUADO,4.14
GRADUADO,4.414285714
GRADUADO,4.214814815
GRADUADO,3.933928571
GRADUADO,4.280645161
GRADUADO,4.022580645
GRADUADO,4.0125
GRADUADO,4.311111111
GRADUADO,4.334920635
GRADUADO,3.752941176
GRADUADO,3.90862069
GRADUADO,4.27037037
GRADUADO,4.071666667
GRADUADO,4.527777778
GRADUADO,4.175862069
GRADUADO,4.183333333
GRADUADO,4.051851852
GRADUADO,4.225396825
GRADUADO,4.038983051
GRADUADO,4.158181818
GRADUADO,4.309090909
GRADUADO,4.253703704
GRADUADO,3.906557377
GRADUADO,4.373529412
GRADUADO,4.09516129
GRADUADO,3.6296875
GRADUADO,4.225
GRADUADO,4.165517241
GRADUADO,4.3
GRADUADO,4.264516129
GRADUADO,4.185483871
GRADUADO,4.246031746
GRADUADO,4.267857143
GRADUADO,4.003278689
GRADUADO,4.142857143
GRADUADO,4.208928571
GRADUADO,4.157142857
GRADUADO,3.895
GRADUADO,4.325
GRADUADO,4.207407407
GRADUADO,4.137313433
GRADUADO,4.292753623
GRADUADO,4.339705882
GRADUADO,4.158928571
GRADUADO,4.4
GRADUADO,4.296153846
GRADUADO,4.182608696
GRADUADO,4.143548387
GRADUADO,4.472131148
GRADUADO,4.305357143
GRADUADO,3.898305085
GRADUADO,4.159649123
GRADUADO,4.294642857
GRADUADO,4.3796875
GRADUADO,4.17254902
GRADUADO,3.944067797
GRADUADO,3.975409836
GRADUADO,4.584126984
GRADUADO,4.314285714
GRADUADO,4.221428571
GRADUADO,4.087719298
GRADUADO,4.173214286
GRADUADO,4.426785714
GRADUADO,4.213461538
GRADUADO,4.407843137
GRADUADO,4.258490566
GRADUADO,4.4125
GRADUADO,4.094736842
GRADUADO,4.226785714
GRADUADO,4.303921569
GRADUADO,4.278333333
GRADUADO,4.2125
GRADUADO,4.301818182
GRADUADO,3.983870968
GRADUADO,4.113793103
GRADUADO,4.313793103
GRADUADO,4.162711864
GRADUADO,3.931578947
GRADUADO,4.625
GRADUADO,4.26
GRADUADO,3.997590361
GRADUADO,3.77804878
GRADUADO,4.28
GRADUADO,4.256140351
GRADUADO,4.168421053
GRADUADO,4.536734694
GRADUADO,4.091428571
GRADUADO,4.254901961
GRADUADO,3.830645161
GRADUADO,4.096551724
GRADUADO,4.375757576
GRADUADO,3.725757576
GRADUADO,4.074468085
GRADUADO,4.12037037
GRADUADO,4.371929825
GRADUADO,4.27254902
GRADUADO,4.152727273
GRADUADO,4.252727273
GRADUADO,4.03030303
GRADUADO,4.031666667
GRADUADO,4.38
GRADUADO,4.559259259
GRADUADO,4.118518519
GRADUADO,3.440298507
GRADUADO,3.778688525
GRADUADO,4.301960784
GRADUADO,4.178846154
GRADUADO,4.101818182
GRADUADO,4.223214286
GRADUADO,4.238888889
GRADUADO,4.288888889
GRADUADO,4.210909091
GRADUADO,4.583636364
GRADUADO,4.409090909
GRADUADO,4.096551724
GRADUADO,4.422
GRADUADO,4.361818182
GRADUADO,4.340740741
GRADUADO,3.915789474
GRADUADO,4.376271186
GRADUADO,4.447058824
GRADUADO,4.32
GRADUADO,3.95
GRADUADO,3.995081967
GRADUADO,4.187719298
GRADUADO,4.198181818
GRADUADO,4.316666667
GRADUADO,4.465454545
GRADUADO,4.356363636
GRADUADO,4.247540984
GRADUADO,3.843103448
GRADUADO,4.198305085
GRADUADO,3.857894737
GRADUADO,4.514545455
GRADUADO,4.310909091
GRADUADO,3.734375
GRADUADO,4.2078125
GRADUADO,3.885454545
GRADUADO,4.140869565
GRADUADO,4.415873016
GRADUADO,4.040677966
GRADUADO,3.670689655
GRADUADO,4.387272727
GRADUADO,4.327272727
GRADUADO,4.483928571
GRADUADO,4.018181818
GRADUADO,4.278181818
GRADUADO,4.135185185
GRADUADO,4.283636364
GRADUADO,4.109836066
GRADUADO,4.402941176
GRADUADO,4.663333333
GRADUADO,4.614545455
GRADUADO,4.201818182
GRADUADO,4.243103448
GRADUADO,3.722641509
GRADUADO,4.427586207
GRADUADO,4.305882353
GRADUADO,3.894117647
GRADUADO,3.915
GRADUADO,4.210909091
GRADUADO,3.88852459
GRADUADO,3.942372881
GRADUADO,4.526923077
GRADUADO,4.274193548
GRADUADO,4.210714286
GRADUADO,3.526229508
GRADUADO,4.194642857
GRADUADO,4.110169492
GRADUADO,4.426315789
GRADUADO,4.407936508
GRADUADO,4.111666667
GRADUADO,4.488888889
GRADUADO,3.842372881
GRADUADO,4.396721311
GRADUADO,4.231578947
GRADUADO,4.19
GRADUADO,4.129090909
GRADUADO,4.010769231
GRADUADO,4.430909091
GRADUADO,4.005454545
GRADUADO,4.114545455
GRADUADO,4.086956522
GRADUADO,3.420779221
GRADUADO,3.857407407
GRADUADO,4.086440678
GRADUADO,3.983333333
GRADUADO,4.093103448
GRADUADO,4.310344828
GRADUADO,3.851612903
GRADUADO,4.31147541
GRADUADO,4.407017544
GRADUADO,4.06
GRADUADO,3.861627907
GRADUADO,3.874626866
GRADUADO,4.194915254
GRADUADO,3.98
GRADUADO,4.429411765
GRADUADO,4.263235294
GRADUADO,3.768253968
GRADUADO,4.473015873
GRADUADO,4.38
GRADUADO,4.087272727
GRADUADO,4.498245614
GRADUADO,4.32
GRADUADO,4.210909091
GRADUADO,4.324615385
GRADUADO,4.521153846
GRADUADO,3.82238806
GRADUADO,4.13559322
GRADUADO,4.286956522
GRADUADO,4.245454545
GRADUADO,3.667123288
GRADUADO,4.359375
GRADUADO,3.663157895
GRADUADO,4.392063492
GRADUADO,4.25
GRADUADO,4.118181818
GRADUADO,3.967741935
GRADUADO,3.966666667
GRADUADO,4.325862069
GRADUADO,4.214285714
GRADUADO,3.962068966
GRADUADO,3.907142857
GRADUADO,4.3
GRADUADO,4.53968254
GRADUADO,4.280882353
GRADUADO,4.154545455
GRADUADO,3.648333333
GRADUADO,4.137288136
GRADUADO,4.101666667
GRADUADO,4.220338983
GRADUADO,4.292727273
GRADUADO,4.342857143
GRADUADO,3.966666667
GRADUADO,4.32962963
GRADUADO,4.187096774
GRADUADO,4.463636364
GRADUADO,4.443137255
GRADUADO,4.298148148
GRADUADO,4.275925926
GRADUADO,4.582352941
GRADUADO,4.492982456
GRADUADO,4.423214286
GRADUADO,4.053968254
GRADUADO,3.874576271
GRADUADO,4.493877551
GRADUADO,4.386153846
GRADUADO,3.8265625
GRADUADO,4.384482759
GRADUADO,3.956140351
GRADUADO,4.069090909
GRADUADO,4.549152542
GRADUADO,4.538235294
GRADUADO,4.281967213
GRADUADO,4.326315789
